,4
seasonal_period,12.0
hidden_nodes,7.0
epochs,500.0
batch_size,20.0
future_steps,60.0
MSE,19377.04
MAE,101.507
RMSE,139.201
1,15.234248104602099
2,2.9539958373606203
3,31.092197751313446
4,90.30826626357435
5,249.6721638035774
6,305.73168254220485
7,222.9351836915016
8,172.6098928502798
9,163.33240650799868
10,90.56633162462711
11,36.35176577326655
12,32.93791775625944
13,32.3850816155076
14,53.726417490050196
15,93.97880812820792
16,135.89869757536053
17,175.82571989911793
18,233.8296262484193
19,270.8506557047367
20,219.55159033083916
21,107.30418849527835
22,39.9923842369169
23,15.029288208335638
24,17.411758128762244
25,19.053610798984764
26,21.5011346231997
27,55.881099951758976
28,120.1690774179697
29,199.66894615763425
30,240.11462139344215
31,227.89373938536642
32,184.3384247843027
33,138.5401162044704
34,96.49280386161804
35,60.58944742928445
36,37.19353795015812
37,39.58543993113935
38,64.60358827619254
39,98.5785968311429
40,134.7586909662187
41,178.56364425686002
42,217.055342911005
43,228.50480673176048
44,191.31022271203994
45,122.28834461349248
46,64.2206454553753
47,30.7802946767807
48,28.59772864973545
49,31.71586442443728
50,39.09281090520322
51,73.54396707898378
52,123.3218613411784
53,177.94621913212538
54,210.74419602692126
55,211.53748869109154
56,181.1418221694231
57,138.4614633963704
58,101.10702832451463
59,67.49110639286042
60,45.133810324788094
