,seasonal_period,hidden_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,12,3,500,20,60,19765.076,103.168,140.588,12.521394547373056,27.56721065479517,61.24915701033175,119.70998073300719,191.0520411210358,251.4111498441696,262.7237877661586,216.48325909030436,142.01604263851047,71.88448813663423,30.95484881776571,13.783616950392723,22.173815466821193,48.19222715047002,89.33869925513864,143.42039102607964,198.03684518033265,237.7949970077276,236.44036017036436,191.37477682703732,125.80867088896035,64.23171635824441,27.750435550153256,15.331544196903705,23.421729962825776,41.69191602051258,78.13053462494909,127.94675571361184,178.8152007406354,218.79047011721133,225.61191297984124,195.5458048623204,144.8848070525229,90.2288928297758,49.85125279600918,27.01164311018586,34.45467212980986,59.55518682990968,98.84092783141136,144.38095021328328,184.35652178773285,211.0218693807721,208.15861426645517,175.80321778053045,128.3917420824766,79.70378837786615,45.87180077809095,30.43502198320627,37.253524228066205,54.324461270391936,87.51630660143495,129.1250833377242,167.96795916697383,197.36624485284088,202.02169607949256,180.2559174799919,142.7341112781465,99.07480573958158,63.67157516504824,41.54805820968747
1,12,4,500,20,60,19532.213,102.206,139.758,2.127461407095194,-8.80297756576538,34.511008787244556,127.63919963926077,225.58466867923735,276.36030409008265,252.05541246467828,183.93565313377977,120.01467755055427,87.58802048143744,64.51741539023816,31.73911041471362,33.651993897065516,63.57956172403693,90.84125614012777,127.92844949626922,183.76701509732007,239.85575404572486,255.40518290948867,209.7763259757757,124.78592867776752,46.873691336005926,8.911710685282944,12.29964523462951,17.678343145251272,21.476087068676947,61.017481659740206,128.250534314543,196.13653196722268,234.72529425376652,224.9135569399595,182.56771958997845,133.6369324594438,97.19983646737039,65.44493040226399,35.51060961511731,39.334859778955575,67.42701138617097,99.45715578764677,135.91264516952634,178.21717439478635,214.57904055082798,220.86147863692045,187.28520274168253,126.88584358638525,68.65004104958474,32.97136873626709,26.50951809722185,31.871432402864098,42.11685853426158,77.19713837738335,127.80073602569102,176.99199447727202,207.01191281211376,204.29699036175012,176.8635138890147,138.61232987326383,103.39842045503855,70.0883634519428,43.37364137555659
2,12,5,500,20,60,19751.993,103.005,140.542,2.6992314069271086,-11.388024668455124,29.714913507923484,137.83407736480237,241.3042116998434,270.49066829931735,246.2237606220245,197.6077939378023,124.27906148278713,72.51604682345688,64.47571789517998,41.12141292715072,32.29528816656768,61.46830277216434,89.94426892483234,132.50958329200745,189.15620276105403,238.87056573182343,256.0921019221544,215.22964932668208,127.83944059950113,43.109677344471216,8.18523862016201,13.518566169261932,15.15719926983118,20.019284104049206,62.9906884868592,133.86238369613886,201.2556942079067,236.37703809285162,226.82228520154953,183.9039107340574,133.93084313750268,94.86579375618696,63.49366778996586,33.54487056237459,35.881232061088085,64.80831571255624,100.53886145317554,139.90499290055035,181.6228165772259,216.61404103159904,224.11161676740645,189.3488306594789,128.82746492421626,68.64082982593774,31.266019643604753,23.395380632847548,27.97826950085163,40.13464969740808,79.63736296065152,133.1054826297462,181.54081634652613,209.96517640078068,207.75359937787056,178.12585252198576,139.27302740889786,102.155724683851,66.96123147900403,39.05496062153578
3,12,6,500,20,60,19632.092,102.629,140.115,27.762256136208773,-9.246662159174681,17.014960697740317,113.2294170717895,235.29728509050608,282.87592270463705,235.8271309468746,173.00946817713975,128.03423037502168,98.85740923851728,43.94367373761534,13.375620763555169,31.49297024667263,64.2373767568767,95.03171782328188,131.06793671303987,178.56437650555372,237.02223055297137,263.52672751629353,213.31889866393803,121.02134515947102,40.944766647040844,16.699355699256063,23.57830914182961,24.507631529599426,20.894158571094273,57.40205603805184,126.05803062665461,197.2711455066204,235.41121368885038,222.88485612255334,178.61809798908232,133.19241101038455,98.71449289029836,65.8387232890427,38.13127538640797,43.78357860258222,68.85535544720292,99.82964953583479,134.86705214989183,175.33140553888677,212.8741098859906,222.5246827492118,186.58143038606642,125.30079249340295,67.18222529706358,35.495554930664596,31.727568780541418,37.11157258844376,42.518950239568944,75.98283177182078,126.5711393700242,175.90215271514654,206.0106382729411,203.49026151520013,173.75726843833922,137.19281347703932,103.82135800212622,73.0959354853928,48.566612541116776
4,12,7,500,20,60,19377.04,101.507,139.201,15.234248104602099,2.9539958373606203,31.092197751313446,90.30826626357435,249.6721638035774,305.73168254220485,222.9351836915016,172.6098928502798,163.33240650799868,90.56633162462711,36.35176577326655,32.93791775625944,32.3850816155076,53.726417490050196,93.97880812820792,135.89869757536053,175.82571989911793,233.8296262484193,270.8506557047367,219.55159033083916,107.30418849527835,39.9923842369169,15.029288208335638,17.411758128762244,19.053610798984764,21.5011346231997,55.881099951758976,120.1690774179697,199.66894615763425,240.11462139344215,227.89373938536642,184.3384247843027,138.5401162044704,96.49280386161804,60.58944742928445,37.19353795015812,39.58543993113935,64.60358827619254,98.5785968311429,134.7586909662187,178.56364425686002,217.055342911005,228.50480673176048,191.31022271203994,122.28834461349248,64.2206454553753,30.7802946767807,28.59772864973545,31.71586442443728,39.09281090520322,73.54396707898378,123.3218613411784,177.94621913212538,210.74419602692126,211.53748869109154,181.1418221694231,138.4614633963704,101.10702832451463,67.49110639286042,45.133810324788094
5,12,8,500,20,60,19976.291,103.144,141.338,-8.603573461174964,23.471848317861557,9.76103780901432,128.78400654539465,252.2372193546295,283.2908403850794,240.51610289150474,182.01119895976782,130.48857689738273,83.87389819653332,68.071471597597,28.77173650994897,33.88050779297948,63.3960811227858,87.5424060370177,130.58593110466003,183.17432370623945,238.06534787464142,255.37937986028194,218.03523113912343,124.08600353354215,40.02894436812401,14.368672033667563,8.094730357021094,15.29483877825737,24.042700101077557,57.28540765884518,133.8664749904275,204.31816745889185,235.5776084872484,221.6298283535242,181.63993724906445,133.91516371706126,95.01311521956325,65.30368776534497,35.16406420357525,37.601237750619646,68.2416090004295,96.79420556004345,138.69211011189222,180.6296897576451,213.06781872296332,219.5932936373949,190.2118729174733,129.8167677783966,67.56520298686624,32.73159796956181,24.956424429371953,29.529590661942958,43.19695441496372,76.19546284487843,133.62776191627978,182.5640467235148,206.37938941669464,201.2713155133724,176.93143867260216,139.35771255147458,101.71338835787773,69.49752011708915,41.596084425598384
6,12,9,500,20,60,19930.275,103.052,141.175,13.665626115247607,8.68184271043539,27.214917672157288,102.26564334887266,258.3981506495476,313.2097781381607,207.35427975690365,184.16039536777137,153.72412972408532,91.61255809749663,45.48965703818947,33.778585748612876,31.374636533170936,51.84764749842882,93.2718452604264,142.60989632910488,176.66192466133833,233.12480782324076,271.2867272363305,217.8300387829542,114.02388365846872,40.573255041942,17.5709466701746,16.93586621582508,19.502833749577402,18.118901152968405,57.16727153626084,131.1922214000523,204.34508631563185,242.76392041325568,221.04200699740647,182.11306288915873,138.88013530424237,97.79602056849002,60.87861592532694,34.54663907884061,37.53432416760921,60.65859843885898,99.72627461707592,142.4126308556199,179.99128512668608,217.7692505183816,225.24613732284305,192.46927941021323,127.75350017344951,66.87028735354542,32.467712393693624,25.862372973918912,29.99978149576485,35.591401054322716,76.13221050533652,134.38317523929476,182.52779460167883,212.83073286813496,205.82325234532357,179.543916043818,140.83148508900405,102.82833578950166,67.52290690755844,41.084876041933896
7,12,10,500,20,60,20129.391,104.469,141.878,15.520627081811428,12.882672105252743,22.017701207622885,97.13269623595475,247.769711959362,317.8811063761711,202.15131572127342,180.5520016581416,162.2139373088479,80.51075549581647,55.68565928851068,30.813571311861274,35.997148191601035,62.63640216055512,90.58530616419017,131.03334667950867,177.86790339088438,225.21638245528936,272.9847538420558,210.82220957028863,108.1282007355988,41.53783578546345,20.815993928790093,20.509658268928526,28.339302975833416,27.390843326568604,52.90976841714978,118.60894602656364,198.48068087267876,237.54407978868483,217.7758291336298,176.35779737055302,134.1335714187026,97.33356483793258,69.80118248806893,40.77634944748878,49.43498103663325,73.84255020108819,96.48749215283989,129.6112151093781,174.4870414340794,209.99416415065525,221.4736385448575,183.1734519816041,120.39428457176685,65.49675152608752,40.94384843042493,35.49570893535018,44.34866538020968,48.83759976701438,71.52756339043378,119.69827637690305,174.5807111518979,203.66834904670714,199.9406220459938,169.49260555422305,133.40296156731247,102.788910589993,79.05602723582089,53.55841290682554
