,24
look_back,12.0
hidden_nodes,3.0
output_nodes,1.0
epochs,500.0
batch_size,20.0
future_steps,60.0
MSE,13576.64
MAE,82.348
RMSE,116.519
1,-34.450505286052824
2,-61.24242148464918
3,-53.27313230265677
4,-25.31268666484952
5,191.65811057952047
6,542.3376936392784
7,502.7575828514099
8,274.4853522523641
9,147.95013956031204
10,67.34758564889431
11,10.290564033016562
12,-10.9028576053977
13,-42.51694527290761
14,-67.58846060013771
15,-60.64004813861847
16,18.58332698120177
17,231.85969129443168
18,431.63312817835805
19,415.69772289204593
20,283.41032477509975
21,160.3947409788072
22,68.82732659442722
23,17.548049369752405
24,-11.016199242487549
25,-41.57676700767875
26,-62.07362835896015
27,-42.42007341992855
28,57.92331250101328
29,234.01640778028963
30,367.4418365972042
31,366.42580085420605
32,275.9523602067232
33,166.87693185934424
34,79.48681611612439
35,26.490729525581003
36,-7.888951039597392
37,-37.444152971327306
38,-50.7055719961524
39,-18.433279925465584
40,83.22883940085768
41,225.84792951911686
42,325.8540626131296
43,331.4133411877155
44,263.46889149248597
45,170.04321007990836
46,89.56200604923069
47,34.824951697424055
48,-3.2298734384626147
49,-30.979931241273878
50,-36.53205005085468
51,3.5577900945469736
52,98.54185654351114
53,215.85494321912526
54,295.87652171856166
55,303.7678845296502
56,250.3653127416372
57,170.83522421461342
58,97.25719013687967
59,42.15566190353036
60,2.4923537164628504
