,look_back,hidden_nodes,output_nodes,epochs,batch_size,future_steps,MSE,MAE,RMSE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60
0,1,3,1,500,20,60,32481.319,139.311,180.226,55.474167268976565,84.28830446518957,99.25481106528639,107.02865377253293,111.06650552952289,113.16382851022482,114.25320535254478,114.81904762485622,115.11295830291509,115.26561472105979,115.34490679389238,115.38609868866205,115.40748499971627,115.41859658306836,115.42437321165204,115.42737194439768,115.42892942574619,115.42973141241073,115.4301498402357,115.43037067714333,115.43048690709472,115.4305450220704,115.43056826806068,115.43059151405096,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609,115.43060313704609
1,1,4,1,500,20,60,32378.419,140.782,179.94,56.75270835717022,86.61373453697561,102.3254320358634,110.59228732788563,114.94199566742778,117.23064477109908,118.43484518238901,119.0684262703657,119.4018086399138,119.57722288253903,119.66952108693123,119.71808196061849,119.74362930393218,119.7570654863119,119.76413226735592,119.76785162580013,119.76980428898334,119.77085035854577,119.7714082623124,119.77168721419572,119.77183831313252,119.77191967409848,119.77196616607904,119.77198941206932,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445,119.77200103506445
2,1,5,1,500,20,60,32442.546,139.788,180.118,55.77438342189789,84.92899882619082,100.16882015696167,108.13504667973518,112.29918227890133,114.47587869340181,115.61368855646252,116.20844884067773,116.51934071463346,116.68185343265533,116.7668059041202,116.81121736854314,116.83442848983407,116.84655127376317,116.85289742910861,116.85620998272299,116.85794180899858,116.85884840261936,116.85932494542003,116.85958065131307,116.85970850425959,116.8597782422304,116.85980148822068,116.85982473421096,116.8598363572061,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124,116.85984798020124
3,1,6,1,500,20,60,32563.499,138.475,180.454,54.77948990705609,82.94400628200172,97.42459613585471,104.86970567160844,108.69755315244197,110.66561680421232,111.67749151495099,112.19774840033054,112.46521676445006,112.60274004292488,112.67345434534549,112.70979945114254,112.72850085031986,112.73810144430398,112.74302959424257,112.74557503017783,112.74688842862844,112.74756256234646,112.7479112522006,112.74808559712767,112.74817858108878,112.74821345007419,112.74823669606447,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474,112.74827156504988,112.74825994205474
4,2,3,1,500,20,60,32532.544,141.207,180.368,62.169425084888935,101.18808709260821,115.97884819471835,119.47545193710923,119.54188897731899,119.10403912746905,118.83372312954067,118.73221951299905,118.70856671789288,118.70832263499499,118.71141435170173,118.71328565391897,118.71398303362727,118.7141457555592,118.7141457555592,118.71412250956892,118.71411088657379,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865,118.71409926357865
5,2,4,1,500,20,60,32702.475,138.955,180.838,59.68676494637131,96.65923352900147,110.1825186342895,113.05334031844139,112.88491149589419,112.39250330686569,112.1265110631287,112.03783923321961,112.02225279673934,112.02526315248012,112.02916847884654,112.03105140405893,112.0316209308207,112.03170229178667,112.03165579980612,112.03163255381584,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207,112.0316209308207
6,2,5,1,500,20,60,32553.456,140.84,180.426,61.95543412140012,100.49935489270091,114.9845474526286,118.37977543142438,118.44387624961138,118.02606444337964,117.7702888123691,117.67504999020696,117.6530476604104,117.65282682350278,117.65563958832621,117.65733654561639,117.65796418735384,117.65811528629064,117.6581036632955,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523,117.65808041730523
7,2,6,1,500,20,60,32687.078,139.082,180.796,59.5318362326771,96.72522308389843,110.48816853743791,113.47867220252752,113.3408699721694,112.84473080170154,112.57014916455745,112.47637483978271,112.4589519700706,112.46163688194751,112.46563519227504,112.46762272444367,112.46825036618112,112.46835497313738,112.4683317271471,112.46829685816168,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714,112.4682736121714,112.46826198917627,112.46826198917627,112.4682736121714
8,3,3,1,500,20,60,32846.42,142.58,181.236,53.05324266913533,106.8110015655756,140.44189391496778,146.95780310440063,138.0540193018019,125.15982880836725,116.37004334208369,113.5000120216012,114.9014430373907,117.748577057451,120.02499877023696,120.97974645987152,120.85133560958504,120.24605651476979,119.6814811489284,119.39338196843862,119.37271628308295,119.49322349667548,119.62857327505945,119.70969015812874,119.72718276581168,119.7053547809422,119.67407730102539,119.65235392311214,119.64521740409731,119.64851833471656,119.65548050880432,119.66105954647064,119.66343063747883,119.66314006260036,119.66166394221783,119.66028080579638,119.65957180309294,119.65951368811726,119.65980426299572,119.66012970685958,119.66033892077208,119.66038541275262,119.66033892077208,119.66026918280124,119.66019944483041,119.66018782183528,119.66018782183528,119.66019944483041,119.66021106782556,119.66022269082069,119.66022269082069,119.66022269082069,119.66021106782556,119.66021106782556,119.66021106782556,119.66022269082069,119.66022269082069,119.66022269082069,119.66021106782556,119.66021106782556,119.66021106782556,119.66022269082069,119.66022269082069,119.66022269082069
9,3,4,1,500,20,60,32851.773,142.318,181.251,52.44891665992141,105.92087772890925,139.3908845795989,146.0045315351486,137.23600452697278,124.46333244770764,115.71237940818071,112.82569233566522,114.1836301036477,116.99555807143449,119.25671879160404,120.2147557888627,120.09778196579218,119.50313791152834,118.94371153253316,118.65548449909687,118.63191306495666,118.74939829981327,118.8830627439022,118.96398203605413,118.98216040045023,118.96116927123069,118.93040320309996,118.90879605513811,118.90152006018161,118.90461177688836,118.91139960604906,118.91693215173483,118.91932648873329,118.91909402883053,118.91767602342367,118.9163161329925,118.91560713028908,118.91553739231824,118.91581634420156,118.91613016507029,118.91632775598764,118.91637424796819,118.91632775598764,118.9162580180168,118.91621152603626,118.91618828004599,118.91618828004599,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626,118.91621152603626
